"","seismic","seismoacoustic","shift","genergy","gpuls","gdenergy","gdpuls","ghazard","nbumps","nbumps2","nbumps3","nbumps4","nbumps5","nbumps6","nbumps7","nbumps89","energy","maxenergy","class"
"1993","b","b","W",14460,271,-42,-40,"b",0,0,0,0,0,0,0,0,0,0,"0"
"1234","b","a","W",28610,330,12,-15,"a",2,1,1,0,0,0,0,0,6900,6000,"0"
"172","a","b","W",698810,1279,-11,-14,"a",3,0,3,0,0,0,0,0,8000,4000,"0"
"2150","a","a","W",42010,601,40,17,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2021","b","b","W",87060,1043,212,122,"a",2,1,1,0,0,0,0,0,2800,2000,"0"
"1922","a","a","N",9280,294,35,71,"a",0,0,0,0,0,0,0,0,0,0,"0"
"35","a","a","N",71840,255,54,28,"a",1,0,1,0,0,0,0,0,6000,6000,"0"
"165","a","c","W",1124850,2153,37,39,"a",3,1,2,0,0,0,0,0,3900,2000,"0"
"2434","a","a","N",4580,100,-64,-59,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2398","a","b","W",20580,436,-30,4,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1981","b","a","W",18690,401,-20,-15,"a",1,1,0,0,0,0,0,0,700,700,"0"
"953","a","a","N",11190,27,4,-32,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1379","b","b","W",23490,748,32,63,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2313","a","a","W",61200,625,116,34,"a",0,0,0,0,0,0,0,0,0,0,"0"
"19","a","b","N",13170,59,-77,-67,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1757","a","a","N",10370,402,3,16,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1246","a","a","N",18040,317,95,43,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1904","a","a","N",18790,322,101,0,"a",0,0,0,0,0,0,0,0,0,0,"0"
"659","a","b","W",24570,434,-52,-53,"a",2,1,1,0,0,0,0,0,3600,3000,"0"
"1736","b","a","N",15760,318,89,89,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2280","b","b","N",2580,94,-79,-62,"a",0,0,0,0,0,0,0,0,0,0,"0"
"345","b","a","W",244480,1576,11,12,"a",3,2,0,1,0,0,0,0,51200,50000,"0"
"125","a","a","W",715390,1923,36,36,"a",1,1,0,0,0,0,0,0,300,300,"0"
"1978","b","a","W",41260,529,77,13,"a",0,0,0,0,0,0,0,0,0,0,"0"
"130","a","a","W",620720,1789,17,23,"a",0,0,0,0,0,0,0,0,0,0,"0"
